0,0.006081,"100,000",76.22,0.005046,"100,000",81.28
1,0.000425,"99,392",75.69,0.000349,"99,495",80.69
2,0.00026,"99,350",74.72,0.000212,"99,461",79.72
3,0.000194,"99,324",73.74,0.000166,"99,440",78.73
4,0.000154,"99,305",72.76,0.000137,"99,423",77.75
5,0.000142,"99,289",71.77,0.000122,"99,409",76.76
6,0.000135,"99,275",70.78,0.000111,"99,397",75.77
7,0.000127,"99,262",69.79,0.000103,"99,386",74.77
8,0.000116,"99,249",68.79,0.000098,"99,376",73.78
9,0.000104,"99,238",67.8,0.000095,"99,366",72.79
10,0.000097,"99,227",66.81,0.000095,"99,357",71.8
11,0.000106,"99,218",65.82,0.000102,"99,348",70.8
12,0.000144,"99,207",64.82,0.000116,"99,337",69.81
13,0.00022,"99,193",63.83,0.000139,"99,326",68.82
14,0.000323,"99,171",62.85,0.00017,"99,312",67.83
15,0.000437,"99,139",61.87,0.000204,"99,295",66.84
16,0.000552,"99,096",60.89,0.00024,"99,275",65.85
17,0.000675,"99,041",59.93,0.000278,"99,251",64.87
18,0.000806,"98,974",58.97,0.000319,"99,224",63.89
19,0.000939,"98,894",58.01,0.00036,"99,192",62.91
20,0.001079,"98,802",57.07,0.000405,"99,156",61.93
21,0.001215,"98,695",56.13,0.000451,"99,116",60.95
22,0.001327,"98,575",55.2,0.000491,"99,071",59.98
23,0.001406,"98,444",54.27,0.000523,"99,023",59.01
24,0.001461,"98,306",53.35,0.000549,"98,971",58.04
25,0.001507,"98,162",52.42,0.000574,"98,917",57.07
26,0.001557,"98,014",51.5,0.000604,"98,860",56.11
27,0.00161,"97,862",50.58,0.000642,"98,800",55.14
28,0.001668,"97,704",49.66,0.00069,"98,737",54.17
29,0.001732,"97,541",48.74,0.000748,"98,669",53.21
30,0.001795,"97,372",47.83,0.00081,"98,595",52.25
31,0.001858,"97,198",46.91,0.000871,"98,515",51.29
32,0.001923,"97,017",46,0.000931,"98,429",50.34
33,0.001992,"96,830",45.09,0.000988,"98,337",49.38
34,0.002064,"96,638",44.18,0.001044,"98,240",48.43
35,0.002145,"96,438",43.27,0.001105,"98,138",47.48
36,0.002231,"96,231",42.36,0.001171,"98,029",46.53
37,0.002316,"96,017",41.45,0.001235,"97,914",45.59
38,0.002398,"95,794",40.55,0.001295,"97,793",44.64
39,0.002482,"95,564",39.64,0.001356,"97,667",43.7
40,0.00258,"95,327",38.74,0.001422,"97,534",42.76
41,0.002697,"95,081",37.84,0.001501,"97,396",41.82
42,0.002828,"94,825",36.94,0.001596,"97,249",40.88
43,0.002976,"94,557",36.04,0.001709,"97,094",39.95
44,0.003146,"94,275",35.15,0.001841,"96,928",39.01
45,0.00334,"93,979",34.26,0.001989,"96,750",38.08
46,0.003567,"93,665",33.37,0.002153,"96,557",37.16
47,0.003833,"93,331",32.49,0.002333,"96,350",36.24
48,0.004143,"92,973",31.61,0.00253,"96,125",35.32
49,0.004499,"92,588",30.74,0.002746,"95,882",34.41
50,0.00489,"92,171",29.88,0.002981,"95,618",33.5
51,0.005321,"91,720",29.02,0.003241,"95,333",32.6
52,0.00581,"91,232",28.18,0.00353,"95,024",31.71
53,0.006363,"90,702",27.34,0.003853,"94,689",30.82
54,0.006973,"90,125",26.51,0.004208,"94,324",29.93
55,0.007629,"89,497",25.69,0.004591,"93,927",29.06
56,0.008322,"88,814",24.89,0.004997,"93,496",28.19
57,0.009049,"88,075",24.09,0.005426,"93,029",27.33
58,0.009806,"87,278",23.31,0.005876,"92,524",26.48
59,0.010595,"86,422",22.53,0.006348,"91,980",25.63
60,0.011452,"85,506",21.77,0.006883,"91,396",24.79
